Sales Channel,Sales Date,External SKU,UPC/EAN,TitleID,Title,Units,HAP/Sales Price,HAP/Sales Price Total,Extended Price %,Extended Price per Unit,Extended Price Total,Cost per Unit,Cost Total,Publisher Compensation per Unit,Publisher Compensation Total
Amazon UK Retail,29/12/2014,TVSDVD0836,8.79061E+11,221248,Growing Good Roses,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,28/12/2014,BSPDVD306,8.79061E+11,221377,"Weekend Explorer  Cape Cod, Massachusetts",1,8.99,8.99,50%,4.49,4.49,0,0,4.49,4.49
Amazon UK Retail,13/12/2014,BNTDVDFTF01,5.03271E+11,221485,The North Yorkshire Moors Railway From The Footplate [PAL],1,9.99,9.99,50%,4.99,4.99,0,0,4.99,4.99
Amazon UK Retail,18/12/2014,ITFDVD112,8.83629E+11,228845,A Doug Jones Travelog The Great Canadian Train Ride,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,8/12/2014,7DYDVD152,8.83629E+11,236265,7 Days  CALIFORNIA U.S.A.,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,16/12/2014,7DYDVD126,8.83629E+11,236295,7 Days  NAMIBIA,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,7/12/2014,7DYDVD114,8.83629E+11,236307,7 Days  SOUTH AFRICA,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,1/12/2014,CDGDVD102,8.83629E+11,236364,Cosmos Global Documentaries  HADENDOA,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,14/12/2014,CDGDVD141,8.83629E+11,236371,"Cosmos Global Documentaries  MEKONG The Three Ancient Kingdoms Of Cambodia, Thailand & Vietnam",1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,1/12/2014,CDGDVD143,8.83629E+11,236397,Cosmos Global Documentaries IN THE LAND OF THE RISING DRAGON Vietnam,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,16/12/2014,GAPDVD017470,8.83629E+11,236406,Didyma [PAL],1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,29/12/2014,GOWDVD119,8.83629E+11,236464,Gardens of the World  JARDIN ANDALUZ,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,29/12/2014,GOWDVD104,8.83629E+11,236470,Gardens of the World  THE EXOTIC GARDENS OF CORNWALL,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,11/12/2014,GOWDVD106,8.83629E+11,236471,Gardens of the World  THE NATIONAL BOTANICAL GARDEN OF BRUSSELS,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,9/12/2014,GTRDVD1080,8.83629E+11,236477,Global Treasures  ABU SIMBEL Egypt,1,8.99,8.99,50%,4.49,4.49,0,0,4.49,4.49
Amazon UK Retail,8/12/2014,GTRDVD1149,8.83629E+11,236490,Global Treasures  ANGKOR WAT Cambodia,1,8.99,8.99,50%,4.49,4.49,0,0,4.49,4.49
Amazon UK Retail,1/12/2014,GTRDVD1109,8.83629E+11,236593,Global Treasures  LAKE TITICACA Lago Titicaca Peru,1,8.99,8.99,50%,4.49,4.49,0,0,4.49,4.49
Amazon UK Retail,8/12/2014,NPMDVD130,8.83629E+11,236795,Nature Parks  KNYSNA Garden Of Eden South Africa,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
