"Member ID","163145"
"Legacy Account ID",""
"Business Name","Travel Video Store"
"Address","5420 Boran Dr"
"","Tampa FL  33610"
"","United States"
"Date for Report","00:23 PST Jan  5 2015 "
"Date Range","12/01/14 to 01/01/15"
""
""
"Sales Channel","Sales Date","External SKU","UPC/EAN","TitleID","Title","Units","HAP/Sales Price","HAP/Sales Price Total","Extended Price %","Extended Price per Unit","Extended Price Total","Cost per Unit","Cost Total","Publisher Compensation per Unit","Publisher Compensation Total"
"Amazon UK Retail","29/12/2014","TVSDVD0836","879061000836","221248","Growing Good Roses","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","28/12/2014","BSPDVD306","879061000362","221377","Weekend Explorer  Cape Cod, Massachusetts","1","8.99","8.99","50%","4.49","4.49","0.00","0.00","4.49","4.49"
"Amazon UK Retail","13/12/2014","BNTDVDFTF01","503271101556","221485","The North Yorkshire Moors Railway From The Footplate [PAL]","1","9.99","9.99","50%","4.99","4.99","0.00","0.00","4.99","4.99"
"Amazon UK Retail","18/12/2014","ITFDVD112","883629210315","228845","A Doug Jones Travelog The Great Canadian Train Ride","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","08/12/2014","7DYDVD152","883629281285","236265","7 Days  CALIFORNIA U.S.A.","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","16/12/2014","7DYDVD126","883629281582","236295","7 Days  NAMIBIA","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","07/12/2014","7DYDVD114","883629281704","236307","7 Days  SOUTH AFRICA","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","01/12/2014","CDGDVD102","883629300429","236364","Cosmos Global Documentaries  HADENDOA","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","14/12/2014","CDGDVD141","883629282299","236371","Cosmos Global Documentaries  MEKONG The Three Ancient Kingdoms Of Cambodia, Thailand & Vietnam","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","01/12/2014","CDGDVD143","883629300771","236397","Cosmos Global Documentaries IN THE LAND OF THE RISING DRAGON Vietnam","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","16/12/2014","GAPDVD017470","883629300689","236406","Didyma [PAL]","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","29/12/2014","GOWDVD119","883629301471","236464","Gardens of the World  JARDIN ANDALUZ","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","29/12/2014","GOWDVD104","883629301419","236470","Gardens of the World  THE EXOTIC GARDENS OF CORNWALL","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","11/12/2014","GOWDVD106","883629301402","236471","Gardens of the World  THE NATIONAL BOTANICAL GARDEN OF BRUSSELS","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","09/12/2014","GTRDVD1080","883629292441","236477","Global Treasures  ABU SIMBEL Egypt","1","8.99","8.99","50%","4.49","4.49","0.00","0.00","4.49","4.49"
"Amazon UK Retail","08/12/2014","GTRDVD1149","883629292274","236490","Global Treasures  ANGKOR WAT Cambodia","1","8.99","8.99","50%","4.49","4.49","0.00","0.00","4.49","4.49"
"Amazon UK Retail","08/12/2014","OEBDVD207","886470670789","344822","Outdoors with Eddie Brochin Eye in the Sky Hunting for rabbits with Chase the Red-Tailed Hawk","1","8.99","8.99","50%","4.49","4.49","0.00","0.00","4.49","4.49"
"Amazon UK Retail","08/12/2014","UOTVDVD1014","886470670932","344838","Ultimate Outdoors with Eddie Brochin The Plantation Falconry Hunting Excursion","1","8.99","8.99","50%","4.49","4.49","0.00","0.00","4.49","4.49"
"Amazon UK Retail","01/12/2014","GTRDVD1109","883629297828","236593","Global Treasures  LAKE TITICACA Lago Titicaca Peru","1","8.99","8.99","50%","4.49","4.49","0.00","0.00","4.49","4.49"
"Amazon UK Retail","08/12/2014","NPMDVD130","883629303567","236795","Nature Parks  KNYSNA Garden Of Eden South Africa","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","06/12/2014","NPMDVD112","883629303550","236796","Nature Parks  KRUGER NATIONAL PARK South Africa","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","04/12/2014","NPMDVD112","883629303550","236796","Nature Parks  KRUGER NATIONAL PARK South Africa","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","19/12/2014","NPMDVD107","883629303505","236799","Nature Parks  MASSAI MARA Kenya","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","16/12/2014","7154","883629303369","236812","Nature Parks  SERENGETI & NGORONGORO Tanzania","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","21/12/2014","NPMDVD128","883629303321","236816","Nature Parks  YELLOWSTONE NATIONAL PARK Wyoming","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","14/12/2014","AIEDVDVOL5","883629515205","247435","Adventures in Europe  Vol 5 Amsterdam Pride","1","8.99","8.99","50%","4.49","4.49","0.00","0.00","4.49","4.49"
"Amazon UK Retail","01/12/2014","C3DVDSAF","883629515229","247437","Safari Kenya","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","22/12/2014","GRKDVDNWA","883629515304","247445","Dive Travel Northwest Australia A Helicopter Diving Adventure","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","04/12/2014","JPPDVD028","883629515359","247450","Canadian Rockies: Highlights","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","07/12/2014","JPPDVD028","883629515359","247450","Canadian Rockies: Highlights","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","29/12/2014","JPPDVD032","883629515366","247451","Vancouver","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","07/12/2014","JPPDVD036","883629515373","247452","Victoria & Vancouver Island","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","29/12/2014","JPPDVD038","883629515397","247454","Vancouver Island","1","17.97","17.97","50%","8.98","8.98","0.00","0.00","8.98","8.98"
"Amazon UK Retail","10/12/2014","BNTDVDBATTLE","883629562629","250307","The Battle of Britain Memorial Flight 'Lest We Forget'","1","9.99","9.99","50%","4.99","4.99","0.00","0.00","4.99","4.99"
"Amazon UK Retail","08/12/2014","CVMPDVD1582","883629562711","250316","Yorkshire Dales A Landscape of Longing [PAL]","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","17/12/2014","CTCDVD49465","883629597072","252997","World's Greatest Festivals  The Ultimate Guide to New York Fashion Week","1","8.99","8.99","50%","4.49","4.49","0.00","0.00","4.49","4.49"
"Amazon UK Retail","04/12/2014","CTCDVD49466","883629597133","253003","World's Greatest Festivals  The Ultimate Guide to the Sturgis Motorcycle Rally","1","8.99","8.99","50%","4.49","4.49","0.00","0.00","4.49","4.49"
"Amazon UK Retail","17/12/2014","GSEDVDHIMA","883629597331","253023","Himalayan Journeys in Nepal and Ladakh","1","14.99","14.99","50%","7.49","7.49","0.00","0.00","7.49","7.49"
"Amazon UK Retail","11/12/2014","DAVDVDBC","883629597713","253061","Destination British Columbia","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","02/12/2014","DAVDVDCA","883629597720","253062","Destination California","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","03/12/2014","DAVDVDCA","883629597720","253062","Destination California","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","13/12/2014","DAVDVDCA","883629597720","253062","Destination California","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","15/12/2014","DAVDVDCA","883629597720","253062","Destination California","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","19/12/2014","DAVDVDCA","883629597720","253062","Destination California","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","30/12/2014","DAVDVDCAN","883629597751","253065","Destination Canada","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","11/12/2014","ABCDPDVDHAW","883629597942","253085","Hawaii [PAL]","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","23/12/2014","ABCDPDVDWESTUSA","883629597973","253088","The West Of The USA [PAL]","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","15/12/2014","ABCDPDVDWESTUSA","883629597973","253088","The West Of The USA [PAL]","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","08/12/2014","BNTPDVDNS3","883629688923","258443","Northern Skies 3 Nine Spectacular Aerial Joureys across Yorkshire, Cumbria and The North East [PAL]","1","17.97","17.97","50%","8.98","8.98","0.00","0.00","8.98","8.98"
"Amazon UK Retail","17/12/2014","DAVDVDFIRE","883629689005","258451","Fireplace In A Box","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","05/12/2014","VPGDVD240","883629689791","258530","Vista Point  KOLKATA - Calcutta, India","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","17/12/2014","BNTPDVDSCF01","883629692531","258668","Dickie Bird At The World's Greatest Festival In Scarborough [PAL]","1","9.99","9.99","50%","4.99","4.99","0.00","0.00","4.99","4.99"
"Amazon UK Retail","01/12/2014","BNTPDVDSCF01","883629692531","258668","Dickie Bird At The World's Greatest Festival In Scarborough [PAL]","1","9.99","9.99","50%","4.99","4.99","0.00","0.00","4.99","4.99"
"Amazon UK Retail","17/12/2014","BAYDVD43226","883629692623","258677","City Tour West Los Angeles, Las Vegas and San Francisco","1","7.99","7.99","50%","3.99","3.99","0.00","0.00","3.99","3.99"
"Amazon UK Retail","19/12/2014","236715","883629957173","266426","Global Treasures  UDAIPUR India (NTSC)","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
"Amazon UK Retail","09/12/2014","236919","883629957456","266454","On Tour...  HURTIGRUTEN Amazing Voyage Along The Norwegian Coast (NTSC)","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
"Amazon UK Retail","15/12/2014","236397","883629957463","266455","Cosmos Global Documentaries IN THE LAND OF THE RISING DRAGON Vietnam (NTSC)","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
"Amazon UK Retail","07/12/2014","236354","883629957470","266456","Cosmos Global Documentaries  CEYLON (NTSC)","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
"Amazon UK Retail","01/12/2014","221094","883629957555","266464","A Doug Jones Travelog QE2 Sails New Zealand & Australia (NTSC)","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
"Amazon UK Retail","18/12/2014","221094","883629957555","266464","A Doug Jones Travelog QE2 Sails New Zealand & Australia (NTSC)","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
"Amazon UK Retail","01/12/2014","221095","883629957562","266465","A Doug Jones Travelog The Great World Cruise of the QE2 (NTSC)","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
"Amazon UK Retail","16/12/2014","237000","883629957630","266472","The Other side of Mexico (NTSC)","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
"Amazon UK Retail","15/12/2014","247441","883629957654","266474","Dreamspeaker Destinations Coastal Magic Sailing British Columbia (NTSC)","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
"Amazon UK Retail","08/12/2014","250314","883629957661","266475","Picture Postcard Yorkshire Volume One (NTSC)","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
"Amazon UK Retail","11/12/2014","250314","883629957661","266475","Picture Postcard Yorkshire Volume One (NTSC)","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
