Date,Title ID,Title Name,Qty Bought,Discount Code,Channel,Royalty
2/1/2010,_0UlJ1x9NjM,Tripoli - Libya,1,,YouTube,1.1
3/1/2010,_5WtduIseMI,Vienna Austria,1,,YouTube,1.1
10/1/2010,_5WtduIseMI,Cities of the World S1E79 - VIENNA Austria,1,,YouTube,1.1
2/1/2010,_bBi7wpseA0,CHENGDE China,1,,YouTube,1.1
10/1/2010,_GUHQt5-rKE,Cities of the World S1E2 - ATHENS Greece,1,,YouTube,1.1
1/1/2010,-_Gz9UAg3ss,Panorama Singapore,1,,YouTube,1.1
3/1/2010,_HkdWni_VL8,Venice Italy,2,,YouTube,1.1
10/1/2010,_HkdWni_VL8,Cities of the World S1E78 - VENICE Italy,1,,YouTube,1.1
8/1/2010,_J4reIfgG8w,Equitrekking S4E405 - Wales,1,,YouTube,1.1
9/1/2010,_J4reIfgG8w,Equitrekking S4E405 - Wales,1,,YouTube,1.1
7/1/2010,_jhOGgdVSyo,"Porthole TV S1E103 - Ship: Carnival Ecstasy Ports: Key West FL, Cozumel Mexico",1,,YouTube,1.1
2/1/2010,_jTUic11ojI,"Tyrol, Austria",1,,YouTube,1.1
11/1/2010,_KugpzLsa-A,The Battle of Britain Memorial Flight 'Lest We Forget',2,,YouTube,0.55
5/1/2010,_m4ssWvGE0o,7 Days S1E161 - COLORADO USA,1,,YouTube,1.1
6/1/2010,_SMsWy40QUI,"Nature Parks S1E124 - MOUNT ETNA Sicily, Italy",1,,YouTube,1.1
3/1/2010,_Xuo-aStnKs,River Island Nature Retreat Australia Maui Sun Club - Hawaii,1,,YouTube,2.75
8/1/2010,_Xuo-aStnKs,The Nude Traveler S1E101 - River Island Nature Retreat Australia Maui Sun Club - Hawaii,2,,YouTube,2.75
10/1/2010,_Xuo-aStnKs,The Nude Traveler S1E101 - River Island Nature Retreat Australia Maui Sun Club - Hawaii,2,,YouTube,2.75
11/1/2010,_Xuo-aStnKs,The Nude Traveler S1E101 - River Island Nature Retreat Australia Maui Sun Club - Hawaii,1,,YouTube,2.75
12/1/2010,_Xuo-aStnKs,The Nude Traveler S1E101 - River Island Nature Retreat Australia Maui Sun Club - Hawaii,1,,YouTube,2.75
7/1/2010,0DaPeEFUOhU,Extremists S2E217 - Surf or Die,1,,YouTube,1.1
8/1/2010,0DaPeEFUOhU,Extremists S2E217 - Surf or Die,1,,YouTube,1.1
11/1/2010,0DaPeEFUOhU,Extremists S2E217 - Surf or Die,1,,YouTube,1.1
8/1/2010,0Di1Fo2nQNE,"Global Treasures S2E1007 - FORBIDDEN CITY Beijing, China",1,,YouTube,1.1
11/1/2010,0jfw-gSw0Z0,7 Days S1E102 - KENYA,1,,YouTube,1.1
2/1/2010,0jWey9W0A9U,"GOLFE DU MORBIHAN Bretagne, France",1,,YouTube,1.1
7/1/2010,0K2YkfQi71o,Global Treasures S2E1041 - EZE France,1,,YouTube,1.1
