products_id	customerflix_id	master	cover	label	web	amazon	mediazone	google	akimbo	distribution_end_date	title	products_model	products_name_prefix	products_name	products_name_suffix	products_head_desc_tag	producers_name	vendors_name	
13128	352846	0	0	0	0	0	0	0	0		Bump!  Zurich	PPE-DVD-410		Zurich		Bump-The Ultimate Gay Travel Companion Zurich DVD Bumper2Bumper Media Inc	Peacepoint Entertainment	Bumper 2 Bumper Media Inc
9977		0	0	0	0	0	0	0	0		Planet Terra   ZION USA	PT-DL-064	 	ZION USA		ZION USA Planet Terra, Global Television	Global Television	GLOBAL TELEVISION est
7364	236902	0	0	0	0	0	0	0	0		Nature Wonders  ZION Utah USA	NWG-DVD-138		ZION	Utah USA	Nature Wonders ZION U.S.A. DVD Global Television Arcadia Films	Global Television	GLOBAL TELEVISION est
10312	292787	0	0	0	0	0	0	0	0		Zimbabwe Gem of Africa (PAL)	ZIM-PDVD-GEM		Zimbabwe	Gem of Africa (PAL) 	Zimbabwe Gem of Africa DVD Video Promotions Zimbabwe	Video Promotions Zimbabwe	Video Promotions Zimbabwe Ltd.
10313	292786	0	0	0	0	0	0	0	0		Zimbabwe Gem of Africa	ZIM-DVD-GEM		Zimbabwe	Gem of Africa	Zimbabwe Gem of Africa DVD Video Promotions Zimbabwe	Video Promotions Zimbabwe	Video Promotions Zimbabwe Ltd.
6885	236731	0	0	0	0	0	0	0	0		Global Treasures  ZHOUZHUANG The Venice of the East China	GTR-DVD-1166		ZHOUZHUANG	The Venice of the East China	Global Treasures ZHOU ZHUANG, China DVD Global Television	Global Television	GLOBAL TELEVISION est
10096		0	0	0	0	0	0	0	0		Planet Terra   ZHOU ZHUANG CHINA	PT-DL-183	 	ZHOU ZHUANG CHINA		ZHOU ZHUANG CHINA Planet Terra, Global Television	Global Television	GLOBAL TELEVISION est
10703	306749	0	0	0	0	0	0	0	0		Global Treasures  ZELVE OREN YERI Cappadocia, Turkey	GTR-DVD-1308		ZELVE OREN YERI	Cappadocia, Turkey	Global Treasures ZELVE OREN YERI DVD Global Television	Global Television	GLOBAL TELEVISION est
7112	237139	0	0	0	0	0	0	0	0		Vista Point  ZANZIBAR Tanzania	VPG-DVD-233		ZANZIBAR	Tanzania	Vista Point Zanzibar Island DVD Global Television Arcadia Films	Global Television	GLOBAL TELEVISION est
10609	302347	0	0	0	0	0	0	0	0		Cities of the World  ZAKYNTHOS	COWS-DVD-187		ZAKYNTHOS		cities of the world Zakynthos shepherd entertainment	Shepherd Entertainment	Shepherd Entertainment
13512		0	0	0	0	0	0	0	0		Top Destinations  ZADAR	TOP-DVD-119		ZADAR		Top Destinations ZADAR DVD Amali Doare	Amali Doare	Amali Doare
7372	236901	0	0	0	0	0	0	0	0		Nature Wonders  YUNNAN SHILIN China	NWG-DVD-146		YUNNAN SHILIN	China	Nature Wonders YUNNAN SHILIN China DVD Global Television Arcadia Films	Global Television	GLOBAL TELEVISION est
7036	237138	0	0	0	0	0	0	0	0		Vista Point  YUNNAN China	VPG-DVD-157		YUNNAN	China	Vista Point Yunnan China DVD Global Television Arcadia Films	Global Television	GLOBAL TELEVISION est
