Date,Title ID,Title Name,Qty Bought,Discount Code,Channel,Royalty
11/1/2008,236746,Latvia,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/1/2008,221104,Alternate Routes  Budapest,1,N/A,Amazon US Retail,$5.24,Sold through Amazon.com
11/1/2008,244923,Switzerland Country of Mountains,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/1/2008,236625,Global Treasures  Nizwa Oman,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/1/2008,236308,7 Days  SULTANATE OF OMAN,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/1/2008,236308,7 Days  SULTANATE OF OMAN,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/1/2008,221399,"Weekend Explorer  Santa Fe, New Mexico",1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/1/2008,236561,"Global Treasures  Hagia Sophia Istanbul, Turkey",1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/1/2008,236954,Scotland,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/1/2008,236701,Global Treasures  Taj Mahal India,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/2/2008,236315,7 Days  TUNISIA,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/2/2008,236742,"Jewish Heritage Sites in Prague, Bohemia and Moravia",1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/2/2008,236741,Israel Today,1,N/A,Amazon US Retail,$8.73,Sold through Amazon.com
11/2/2008,239602,Explore San Francisco 2nd Edition,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/2/2008,221364,The Nude Traveller Nude In French Polynesia,1,N/A,Amazon US Retail,$10.48,Sold through Amazon.com
11/2/2008,236640,Global Treasures  PETRA Jordan,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/2/2008,236640,Global Treasures  PETRA Jordan,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/2/2008,236993,The Key West Picture Show,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/2/2008,236291,7 Days  MALTA,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/2/2008,237077,Vista Point  MALTA,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/2/2008,221184,English Cottage and Country Gardens,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/2/2008,221346,Take A Tour Of Nashville Music City,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
11/2/2008,236264,7 Days  BRETAGNE France,1,N/A,Amazon US Retail,$6.99,Sold through Amazon.com
11/2/2008,236322,A Slice Of Sicily,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/2/2008,250326,America & the Passenger Train,1,N/A,Amazon US Retail,$6.98,Sold through Amazon.com
11/2/2008,236604,Global Treasures  MACHU PICCHU Machu Piqchu Peru,1,N/A,Amazon US Retail,$5.23,Sold through Amazon.com
