eISBN,CatalogID,Title,Author,Qty Sold,SRP per Unit,SRP Total,AmountOwed
,7439,A Classical Garden,Global Television,1,29.99,29.99,14.995
,7118,Acadia New England,Global Television,2,29.99,59.98,29.99
,6772,"Acropolis Akropolis Athens, Greece",Global Television,3,22.43,67.29,33.645
,7166,African Balloon Safari,Global Television,1,29.99,29.99,14.995
,6913,"Agrigento Sicily, Italy",Global Television,1,22.43,22.43,11.215
,6870,"Aigues-Mortes Provence, France",Global Television,1,22.43,22.43,11.215
,6933,Aix-en-Provence Ais de Provenca France,Global Television,1,22.43,22.43,11.215
,7641,Alaska,Worldwide Travel Films,5,37.43,187.15,93.575
,6997,Algarve Portugal,Global Television,4,29.99,119.96,59.98
,6865,"Alhambra Granada Andalucia, Spain",Global Television,2,22.43,44.86,22.43
,7506,Alhambra Spain,Global Television,1,29.99,29.99,14.995
,7237,Alto Adige / Sudtirolo,Global Television,1,29.99,29.99,14.995
,6998,Alto Adige Italy,Global Television,4,29.99,119.96,59.98
,8063,Amazing Thailand,Shidog Films,1,29.93,29.93,14.965
,6406,Amsterdam,David Mitchell,1,22.49,22.49,11.245
,7061,Amsterdam Holland,Global Television,4,29.99,119.96,59.98
,8072,Amsterdam Pride,IndependentKoncepts,1,32.99,32.99,16.495
,6485,An Adventure of a Different Nature,Arctic Jungle Films,1,29.99,29.99,14.995
,7062,Andalusia Spain,Global Television,3,29.99,89.97,44.985
,7510,Angkor,Global Television,1,29.99,29.99,14.995
,6868,Angkor Wat Cambodia,Global Television,2,22.43,44.86,22.43
,7168,Arabian Desert Safari,Global Television,1,29.99,29.99,14.995
,7132,Arches Park Utah,Global Television,2,29.99,59.98,29.99
,7214,Arizona,Global Television,5,29.99,149.95,74.975
,6782,"Arkadi Kreta, Greece",Global Television,1,22.43,22.43,11.215
,6861,"Arles Provence, France",Global Television,1,22.43,22.43,11.215
,7008,Athens Greece,Global Television,3,29.99,89.97,44.985
,6468,"Athens, Greece",The Nightingale Company,2,29.99,59.98,29.99
,5814,Australia's North West,Panorama Australia,1,29.93,29.93,14.965
,7232,Austria,Global Television,1,29.99,29.99,14.995
,6748,Avebury Stone Circle England,Global Television,3,22.43,67.29,33.645
,6847,"Avignon Provence, France",Global Television,1,22.43,22.43,11.215
,7910,Badlands,Global Television,1,22.43,22.43,11.215
,7050,Bahamas,Global Television,3,29.99,89.97,44.985
,7225,Bahamas,Global Television,1,29.99,29.99,14.995
,6413,Bali,David Mitchell,1,22.49,22.49,11.245
,7212,Bali,Global Television,1,29.99,29.99,14.995
,6754,Bali Indonesia,Global Television,2,22.43,44.86,22.43
,6988,Bali Indonesia,Global Television,3,29.99,89.97,44.985
,7081,Banepa Valley Nepal,Global Television,2,29.99,59.98,29.99
,6410,Bangkok,David Mitchell,1,22.49,22.49,11.245
,7020,Bangkok Thailand,Global Television,3,29.99,89.97,44.985
,6441,Banos,David Mitchell,1,22.49,22.49,11.245
,6423,Barcelona,David Mitchell,2,22.49,44.98,22.49
,7028,Barcelona Spain,Global Television,3,29.99,89.97,44.985
,7638,Bavaria and the Black Forest,Worldwide Travel Films,1,37.43,37.43,18.715
,7934,Beautiful Cozumel the Drift Diving Capital of the World,GRK Productions,1,29.93,29.93,14.965
,6981,Beijing China,Global Television,4,29.99,119.96,59.98
,7937,Belize Home of the Famous Blue Hole,GRK Productions,1,29.93,29.93,14.965
,7185,Beneath the Himalayas,Global Television,1,29.99,29.99,14.995
,7204,Bergensbanen,Global Television,1,29.99,29.99,14.995
,6446,Berlin,David Mitchell,2,22.49,44.98,22.49
,7931,Best of Europe Guide,ViewEurope Productions,2,37.43,74.86,37.43
,7039,Bhaktapur Nepal,Global Television,3,29.99,89.97,44.985
,6872,Biertan Biyertan Romania,Global Television,2,22.43,44.86,22.43
,7186,Blue Danube Cruise Wachau,Global Television,1,29.99,29.99,14.995
,6807,"Blue Mosque Sultan Ahmed Mosque Istanbul, Turkey",Global Television,2,22.43,44.86,22.43
,7938,Bonaire a Tropical Desert Island,GRK Productions,1,29.93,29.93,14.965
,6956,Bosra Syria,Global Television,2,22.43,44.86,22.43
,7047,Boston,Global Television,3,29.99,89.97,44.985
,7231,Botswana,Global Television,1,29.99,29.99,14.995
