PO_ID,EXTERNAL_ID,ABIS_STOCK,CATALOG_NUMBER,ASIN,TITLE,LIST_PRICE,DISCOUNT,COST,SUBMITTED_QTY,FILL_QTY,CONFIRM_QTY,CANCEL_QTY,RCVD_QTY,ESD,EDD,ACK_STATE,PREV_ERROR,VEN_CODE,FC,CONDITION,PO_DATE,START_SHIP,END_SHIP,IS_BACKORDER,FREIGHT_TERM,PAY_TERMS,PO_SPEC_INSTR,PO_COMMENTS
Order/PO Number,External ID,Model Number,Catalogue Number,ASIN,Title,List Price,Discount,Cost,Quantity Ordered,Previously Confirmed Quantity,Quantity Confirmed,Quantity Canceled,Quantity Received,Expected Ship Date,Expected Delivery Date,Availability Status,Error From Previous Upload Attempt,Vendor Code,Fulfillment Center,Condition,Order Date,Earliest Ship,Latest Ship,Is Backorder,Freight Terms,Payment Method,Special Instructions,Comments
R7995180,0897892001037,,DIGIDVD00103,B001EUJBKK,A Video Postcard  A Video Postcard from Monument Valley and Canyon de Chelly (REGION 1) (NTSC),£6.63,35%,£4.31,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0897892001044,,DIGIDVD00104,B001EUJBKU,A Video Postcard  A Video Postcard from Arizona (REGION 1) (NTSC),£6.63,35%,£4.31,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0606041368729,,AWPDVD36872,B001EZ8GN8,Bird's Eye View Bird's Eye View The Desert Southwest Part 1 (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629489179,,C3DVDCOAST,B001GCVJRE,Kenya Coast (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629562827,,RSVPDVDSUN,B001GCVJS8,19 Spectacular Tropical Island Sunsets (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629488486,,FMFDVDCHIOS,B001GVJYFY,God's Lair God\'s Lair: Chios & Inousses (REGION 1) (NTSC),£24.95,35%,£16.22,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629489094,,MLDVD00847,B001J54A24,"The Kvarner Islands Krk, Cres and Mali Losinj (REGION 1) (NTSC)",£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629489117,,MLDVDPELO,B001J54A2E,Peloponnes Greece (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629515458,,MLDVDZADAR,B001J54A2O,Archipelago of Zadar (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
