UPC,product url,price,condition,category,format,stock,shipping rate,shipping weight
743452015535,http://www.travelvideostore.com/product_info.php?products_id=319&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
743452007837,http://www.travelvideostore.com/product_info.php?products_id=1800&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
033937025112,http://www.travelvideostore.com/product_info.php?products_id=938&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
033937025082,http://www.travelvideostore.com/product_info.php?products_id=935&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
033937025136,http://www.travelvideostore.com/product_info.php?products_id=940&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
033937025242,http://www.travelvideostore.com/product_info.php?products_id=951&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
033937027949,http://www.travelvideostore.com/product_info.php?products_id=960&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
033937025099,http://www.travelvideostore.com/product_info.php?products_id=936&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
033937025181,http://www.travelvideostore.com/product_info.php?products_id=945&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
033937025211,http://www.travelvideostore.com/product_info.php?products_id=948&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
033937027925,http://www.travelvideostore.com/product_info.php?products_id=958&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
033937027932,http://www.travelvideostore.com/product_info.php?products_id=959&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
647715073129,http://www.travelvideostore.com/product_info.php?products_id=396&ref=115123,24.95,New,Movies,DVD,Y,$0.00,0.32
647715073228,http://www.travelvideostore.com/product_info.php?products_id=397&ref=115123,24.95,New,Movies,DVD,Y,$0.00,0.32
647715073624,http://www.travelvideostore.com/product_info.php?products_id=400&ref=115123,24.95,New,Movies,DVD,Y,$0.00,0.32
033937032363,http://www.travelvideostore.com/product_info.php?products_id=878&ref=115123,14.95,New,Movies,DVD,Y,$0.00,0.32
637101121398,http://www.travelvideostore.com/product_info.php?products_id=566&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
637101121350,http://www.travelvideostore.com/product_info.php?products_id=558&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
616347092815,http://www.travelvideostore.com/product_info.php?products_id=798&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
616347093072,http://www.travelvideostore.com/product_info.php?products_id=799&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
616347093539,http://www.travelvideostore.com/product_info.php?products_id=802&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
017078901139,http://www.travelvideostore.com/product_info.php?products_id=785&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
008941000608,http://www.travelvideostore.com/product_info.php?products_id=1730&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
647715061027,http://www.travelvideostore.com/product_info.php?products_id=394&ref=115123,24.95,New,Movies,DVD,Y,$0.00,0.32
727994750239,http://www.travelvideostore.com/product_info.php?products_id=847&ref=115123,29.95,New,Movies,DVD,Y,$0.00,0.32
017078916126,http://www.travelvideostore.com/product_info.php?products_id=745&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
017078925722,http://www.travelvideostore.com/product_info.php?products_id=769&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
033937032516,http://www.travelvideostore.com/product_info.php?products_id=881&ref=115123,29.95,New,Movies,DVD,Y,$0.00,0.90
017078980929,http://www.travelvideostore.com/product_info.php?products_id=746&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
633601200724,http://www.travelvideostore.com/product_info.php?products_id=5342&ref=115123,21.95,New,Movies,DVD,Y,$0.00,0.32
033937032240,http://www.travelvideostore.com/product_info.php?products_id=868&ref=115123,14.95,New,Movies,DVD,Y,$0.00,0.32
033937032257,http://www.travelvideostore.com/product_info.php?products_id=869&ref=115123,14.95,New,Movies,DVD,Y,$0.00,0.32
033937032264,http://www.travelvideostore.com/product_info.php?products_id=870&ref=115123,14.95,New,Movies,DVD,Y,$0.00,0.32
017078983425,http://www.travelvideostore.com/product_info.php?products_id=1819&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
017078926026,http://www.travelvideostore.com/product_info.php?products_id=744&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
017078981025,http://www.travelvideostore.com/product_info.php?products_id=747&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
794051801128,http://www.travelvideostore.com/product_info.php?products_id=766&ref=115123,29.95,New,Movies,DVD,Y,$0.00,0.32
017078914122,http://www.travelvideostore.com/product_info.php?products_id=767&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
033937034404,http://www.travelvideostore.com/product_info.php?products_id=893&ref=115123,14.99,New,Movies,DVD,Y,$0.00,0.32
799759053206,http://www.travelvideostore.com/product_info.php?products_id=304&ref=115123,24.95,New,Movies,DVD,Y,$0.00,0.32
8594016791844,http://www.travelvideostore.com/product_info.php?products_id=1830&ref=115123,24.95,New,Movies,DVD,Y,$0.00,0.32
799759044136,http://www.travelvideostore.com/product_info.php?products_id=293&ref=115123,24.95,New,Movies,DVD,Y,$0.00,0.32
799759044334,http://www.travelvideostore.com/product_info.php?products_id=294&ref=115123,24.95,New,Movies,DVD,Y,$0.00,0.32
799759044532,http://www.travelvideostore.com/product_info.php?products_id=295&ref=115123,24.95,New,Movies,DVD,Y,$0.00,0.32
799759044730,http://www.travelvideostore.com/product_info.php?products_id=296&ref=115123,24.95,New,Movies,DVD,Y,$0.00,0.32
799759043337,http://www.travelvideostore.com/product_info.php?products_id=299&ref=115123,24.95,New,Movies,DVD,Y,$0.00,0.32
799759043535,http://www.travelvideostore.com/product_info.php?products_id=301&ref=115123,24.95,New,Movies,DVD,Y,$0.00,0.32
799759050304,http://www.travelvideostore.com/product_info.php?products_id=309&ref=115123,24.95,New,Movies,DVD,Y,$0.00,0.32
835754000101,http://www.travelvideostore.com/product_info.php?products_id=1832&ref=115123,16.95,New,Movies,DVD,Y,$0.00,0.32
885444277030,http://www.travelvideostore.com/product_info.php?products_id=1833&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
801273000199,http://www.travelvideostore.com/product_info.php?products_id=1834&ref=115123,14.95,New,Movies,DVD,Y,$0.00,0.32
033937033544,http://www.travelvideostore.com/product_info.php?products_id=334&ref=115123,14.95,New,Movies,DVD,Y,$0.00,0.32
033937033438,http://www.travelvideostore.com/product_info.php?products_id=1157&ref=115123,14.95,New,Movies,DVD,Y,$0.00,0.32
033937033513,http://www.travelvideostore.com/product_info.php?products_id=333&ref=115123,14.95,New,Movies,DVD,Y,$0.00,0.32
033937033414,http://www.travelvideostore.com/product_info.php?products_id=1155&ref=115123,14.95,New,Movies,DVD,Y,$0.00,0.32
033937033421,http://www.travelvideostore.com/product_info.php?products_id=1156&ref=115123,14.95,New,Movies,DVD,Y,$0.00,0.32
033937032950,http://www.travelvideostore.com/product_info.php?products_id=889&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
764315007436,http://www.travelvideostore.com/product_info.php?products_id=1352&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
008941000660,http://www.travelvideostore.com/product_info.php?products_id=1728&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
008941000714,http://www.travelvideostore.com/product_info.php?products_id=1732&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
008941000783,http://www.travelvideostore.com/product_info.php?products_id=1743&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
008941000769,http://www.travelvideostore.com/product_info.php?products_id=1746&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
008941000820,http://www.travelvideostore.com/product_info.php?products_id=1748&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
008941001049,http://www.travelvideostore.com/product_info.php?products_id=1751&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
759741930236,http://www.travelvideostore.com/product_info.php?products_id=368&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
759741960233,http://www.travelvideostore.com/product_info.php?products_id=376&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
754309012935,http://www.travelvideostore.com/product_info.php?products_id=468&ref=115123,24.95,New,Movies,VHS,Y,$0.00,0.60
03393703512,http://www.travelvideostore.com/product_info.php?products_id=983&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
028048280031,http://www.travelvideostore.com/product_info.php?products_id=284&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
880517000294,http://www.travelvideostore.com/product_info.php?products_id=1191&ref=115123,9.99,New,Movies,DVD,Y,$0.00,0.32
880517002199,http://www.travelvideostore.com/product_info.php?products_id=1199&ref=115123,9.99,New,Movies,DVD,Y,$0.00,0.32
4026643020171,http://www.travelvideostore.com/product_info.php?products_id=3495&ref=115123,24.95,New,Movies,DVD,Y,$0.00,0.32
008506001965,http://www.travelvideostore.com/product_info.php?products_id=1290&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
041048005213,http://www.travelvideostore.com/product_info.php?products_id=1312&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
033937022814,http://www.travelvideostore.com/product_info.php?products_id=924&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
