ISBN/UPC	Manufacturer	Product Name	Referring Product URL	Condition	Quantity	Price	Shipping costs
743452015535	Atlas Media Corp.	 California 	http://www.travelvideostore.com/product_info.php?products_id=319&ref=115122	New	2	3.47	0.50
188755016X	Trailwood Films	 Jordan - Israel More Stories from the Holy Lands	http://www.travelvideostore.com/product_info.php?products_id=1813&ref=115122	New	1	3.47	0.50
9416541111500	Dove Video Productions	 New Zealand Adventure	http://www.travelvideostore.com/product_info.php?products_id=1774&ref=115122	New	1	3.47	0.60
743452007837	Prime Cut Productions	 Italy & France 	http://www.travelvideostore.com/product_info.php?products_id=1800&ref=115122	New	10	3.47	0.50
743452015733	The Travel Channel	 The West 	http://www.travelvideostore.com/product_info.php?products_id=1803&ref=115122	New	5	3.47	0.50
033937025112	Small World Productions	 Switzerland Berner Alps - Western Switzerland	http://www.travelvideostore.com/product_info.php?products_id=938&ref=115122	New	145	3.47	0.50
033937025198	Small World Productions	 Turkey West Coast of Turkey - Central Turkey	http://www.travelvideostore.com/product_info.php?products_id=946&ref=115122	New	3	3.47	0.50
033937025082	Small World Productions	 Ireland Western Ireland Dublin and Belfast	http://www.travelvideostore.com/product_info.php?products_id=935&ref=115122	New	4	3.47	0.50
033937025136	Small World Productions	 Greece Athens and the Peloponnese Greek Islands	http://www.travelvideostore.com/product_info.php?products_id=940&ref=115122	New	89	3.47	0.50
033937025143	Small World Productions	 Italy The Hilltowns of Tuscany - The Italian Riviera	http://www.travelvideostore.com/product_info.php?products_id=941&ref=115122	New	12	3.47	0.50
033937025174	Small World Productions	 Spain Toledo and Madrid - Seville an Andalusia	http://www.travelvideostore.com/product_info.php?products_id=944&ref=115122	New	4	3.47	0.50
033937025242	Small World Productions	 Portugal Southern Coast & Lisbon	http://www.travelvideostore.com/product_info.php?products_id=951&ref=115122	New	15	3.47	0.50
033937025099	Small World Productions	 Great Britain London Edinburgh	http://www.travelvideostore.com/product_info.php?products_id=936&ref=115122	New	410	3.47	0.50
033937025129	Small World Productions	 Germany The Rhine and Mosel - The Romantic Road	http://www.travelvideostore.com/product_info.php?products_id=939&ref=115122	New	5	3.47	0.50
033937025150	Small World Productions	 France Burgundy - Provence & The Loire	http://www.travelvideostore.com/product_info.php?products_id=942&ref=115122	New	11	19.95	0.50
033937025167	Small World Productions	 Austria Vienna & The Danube - Salzburg & The Lakes District	http://www.travelvideostore.com/product_info.php?products_id=943&ref=115122	New	5	3.47	0.50
033937025181	Small World Productions	 Great Britain North Wales - Cotsworth Villages & Bath	http://www.travelvideostore.com/product_info.php?products_id=945&ref=115122	New	39	3.47	0.50
033937025211	Small World Productions	 France The Dorgogne Region - The French Riviera	http://www.travelvideostore.com/product_info.php?products_id=948&ref=115122	New	98	3.47	0.50
033937027123	Small World Productions	 Eastern Cities Prague - Budapest and Istanbul	http://www.travelvideostore.com/product_info.php?products_id=953&ref=115122	New	9	3.47	0.50
033937027925	Small World Productions	 France Paris Daytrips - Alsace & Champagne	http://www.travelvideostore.com/product_info.php?products_id=958&ref=115122	New	319	3.47	0.50
033937027932	Small World Productions	 Great Britain London Daytrips - North England	http://www.travelvideostore.com/product_info.php?products_id=959&ref=115122	New	37	3.47	0.50
033937027970	Small World Productions	 The Alps The Tyrol, Dolomites, Milan & Lake Como	http://www.travelvideostore.com/product_info.php?products_id=963&ref=115122	New	14	3.47	0.50
647715073129	Alpha DVD	 Austrialia Visions of Earth from Space	http://www.travelvideostore.com/product_info.php?products_id=396&ref=115122	New	4	24.95	0.50
647715073228	Alpha DVD	 North America Visions of Earth from Space	http://www.travelvideostore.com/product_info.php?products_id=397&ref=115122	New	2	24.95	0.30
647715073624	Alpha DVD	 Glaciers Alaska's Rivers of Ice	http://www.travelvideostore.com/product_info.php?products_id=400&ref=115122	New	1	24.95	0.30
637101121398	Globe Trekker	City Guide San Francisco Travel Guide DVD	http://www.travelvideostore.com/product_info.php?products_id=566&ref=115122	New	8	19.95	0.30
637101121350	Globe Trekker	Destination Hawaii Travel Guide DVD	http://www.travelvideostore.com/product_info.php?products_id=558&ref=115122	New	30	19.95	0.30
637101120360	Globe Trekker	Destination Italy Travel Guide DVD	http://www.travelvideostore.com/product_info.php?products_id=563&ref=115122	New	2	19.95	0.50
647715088024	Alpha DVD	 Austrailian Outback, The 	http://www.travelvideostore.com/product_info.php?products_id=405&ref=115122	New	1	24.95	0.30
647715100924	Alpha DVD	 Mozart Piano Concertos Nos. 13 and 20	http://www.travelvideostore.com/product_info.php?products_id=424&ref=115122	New	1	19.95	0.30
616347092815	KCTS Television	 Washington 	http://www.travelvideostore.com/product_info.php?products_id=798&ref=115122	New	9	19.95	0.30
616347093072	KCTS Television	 California 	http://www.travelvideostore.com/product_info.php?products_id=799&ref=115122	New	5	19.95	0.30
616347093539	KCTS Television	 Washington the Beautiful 	http://www.travelvideostore.com/product_info.php?products_id=802&ref=115122	New	9	19.95	0.30
616347097148	KCTS Television	 Washington D.C. Our Nation's Capital	http://www.travelvideostore.com/product_info.php?products_id=803&ref=115122	New	4	19.95	0.30
017078906431	Graphic Films Corporation	 Ring of Fire 	http://www.travelvideostore.com/product_info.php?products_id=782&ref=115122	New	3	3.47	0.50
017078901139	Graphic Films Corporation	Search For The Great Sharks 	http://www.travelvideostore.com/product_info.php?products_id=785&ref=115122	New	2	3.47	0.50
017078908732	Sedona Supervue Theater	 Sedona The Spirit of Wonder	http://www.travelvideostore.com/product_info.php?products_id=796&ref=115122	New	2	3.47	0.50
1584481447	Slingshot Video	The Story of Yosemite National Park	http://www.travelvideostore.com/product_info.php?products_id=1777&ref=115122	New	1	3.47	0.50
017078905236	Realbiz	 Mystery of the Maya 	http://www.travelvideostore.com/product_info.php?products_id=779&ref=115122	New	4	3.47	0.50
017078900934	Destination Cinema	 Hidden Hawaii 	http://www.travelvideostore.com/product_info.php?products_id=783&ref=115122	New	2	3.47	0.50
017078900637	Graphic Films Corporation	 Great Barrier Reef, The 	http://www.travelvideostore.com/product_info.php?products_id=787&ref=115122	New	1001	3.47	0.50
017078986136	National Wildlife Federation	 India Kingdom of the Tiger	http://www.travelvideostore.com/product_info.php?products_id=1776&ref=115122	New	1	3.47	0.50
033937033223	Kuleana Productions	 Be a Hula Girl 	http://www.travelvideostore.com/product_info.php?products_id=1003&ref=115122	New	1	3.47	0.50
647715061027	Playtime Pictures	 London 	http://www.travelvideostore.com/product_info.php?products_id=394&ref=115122	New	1	24.95	0.30
727994750239	National Geographic Television & Film	 Into the Great PYRAMID 	http://www.travelvideostore.com/product_info.php?products_id=847&ref=115122	New	3	29.95	0.20
017078916126	World Cinemax	 Zion Canyon Treasure of the Gods	http://www.travelvideostore.com/product_info.php?products_id=745&ref=115122	New	48	19.95	0.30
017078980325	National Film Board of Canada	 Mystery Of The Maya 	http://www.travelvideostore.com/product_info.php?products_id=752&ref=115122	New	1	19.95	0.30
017078601527	Soames Summerhays	 Ocean Oasis Two Worlds - One Paradise	http://www.travelvideostore.com/product_info.php?products_id=764&ref=115122	New	7	19.95	0.30
017078925722	Dave Swartwout	 Sedona The Spirit of Wonder	http://www.travelvideostore.com/product_info.php?products_id=769&ref=115122	New	21	19.95	0.30
033937032516	Questar	National Parks Yellowstone, Grand Canyon & Yosemite 3 DVD Set	http://www.travelvideostore.com/product_info.php?products_id=881&ref=115122	New	30	29.95	0.90
017078980929	Barre Howells & Pan Han Ci	 First Emperor Of China, The 	http://www.travelvideostore.com/product_info.php?products_id=746&ref=115122	New	22	19.95	0.30
017078983326	Lobo & Associates	 Greatest Places, The 	http://www.travelvideostore.com/product_info.php?products_id=749&ref=115122	New	1	19.95	0.30
633601200724	Media Artists Inc.	 Small Ship Cruising 	http://www.travelvideostore.com/product_info.php?products_id=5342&ref=115122	New	4	21.95	0.30
033937032240	Questar	 Yellowstone The World's First National Park	http://www.travelvideostore.com/product_info.php?products_id=868&ref=115122	New	12	14.95	0.30
033937032257	Questar	 Yosemite The World's Most Spectacular Valley	http://www.travelvideostore.com/product_info.php?products_id=869&ref=115122	New	22	14.95	0.30
033937032264	Questar	 Grand Canyon The World's Great Natural Wonder	http://www.travelvideostore.com/product_info.php?products_id=870&ref=115122	New	10	14.95	0.30
017078983425	Graphic Films Corporation	 Genesis Four Billion Years in the Making	http://www.travelvideostore.com/product_info.php?products_id=1819&ref=115122	New	83	19.95	0.30
017078926026	Heliograph Production	 Wild Australia The Edge	http://www.travelvideostore.com/product_info.php?products_id=744&ref=115122	New	1	19.95	0.30
017078981025	Heliograph Production	 Antarctica 	http://www.travelvideostore.com/product_info.php?products_id=747&ref=115122	New	34	19.95	0.30
794051801128	IMAX	 Fires of Kuwait 	http://www.travelvideostore.com/product_info.php?products_id=766&ref=115122	New	1	29.95	0.30
017078914122	Graphic Films Corporation	 Eruption of Mount St. Helens!, The 	http://www.travelvideostore.com/product_info.php?products_id=767&ref=115122	New	14	19.95	0.30
033937034404	SeaVid	 Mexico 	http://www.travelvideostore.com/product_info.php?products_id=893&ref=115122	New	3	14.95	0.30
799759053206	Bennett-Watt Entertainment	 Nevada 	http://www.travelvideostore.com/product_info.php?products_id=304&ref=115122	New	2	24.95	0.30
